,open,percent300Avg,growth5,growth10,growth20,growth40,growth80,growth160,growth300,num,x3,x4,x5,slope5,slope10,slope20,slope40,slope80,slope160,movAvgDiff20,movAvgDiff40,movAvgDiff80,movAvgDiff160,var20,var40,var80,var160,sp_slope5,sp_slope10,sp_slope20,sp_slope40,sp_slope80,sp_slope160,sp_movAvgDiff20,sp_movAvgDiff40,sp_movAvgDiff80,sp_movAvgDiff160,sp_var20,sp_var40,sp_var80,sp_var160,dow_slope5,dow_slope10,dow_slope20,dow_slope40,dow_slope80,dow_slope160,dow_movAvgDiff20,dow_movAvgDiff40,dow_movAvgDiff80,dow_movAvgDiff160,dow_var20,dow_var40,dow_var80,dow_var160,5DayActual,10DayActual,50DayActual,k,300MovAvg
2012-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.542,-6.20751515152,5.35582330827,5.78105007036,-2.56363582689,1.11197045295,0.976610198332,0.989112648873,1.01188247058,0.986638525938,1810.96760526,5721.23607532,13860.6194585,20875.4442766,13.352,13.5492666667,4.78887406015,5.71473597561,-5.8107266526,5.73681501212,0.995090035571,0.99917162004,1.00594889869,0.990328633697,18076.8538408,18714.7940746,45363.6074618,71895.5005949,,,,,
2012-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.043,-6.17112121212,4.46057518797,5.84647901032,-2.482692093,1.10571331751,0.977897591594,0.988358374989,1.01169421808,0.986768454579,2202.48933552,5407.4671218,13786.5869304,20525.7786139,-14.351,17.1569939394,4.55846428571,6.12019795966,-5.81000884025,5.64529625736,0.9882730702,0.991135895982,0.99837032933,0.98237504669,17933.0817187,18884.4437485,41364.6954918,72192.8060327,,,,,
2012-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.526,-6.28415151515,3.5012556391,5.88161198405,-2.40106535689,1.09882586905,0.979355530808,0.987458809906,1.01102350083,0.986808237954,2340.4898421,5091.91419872,13809.243519,20026.0330777,-40.3602,18.218630303,4.25524849624,6.4567521576,-5.80218270921,5.5531689354,0.99400621758,0.996014947384,1.00369357683,0.987373007562,17433.6576537,18790.4692,39367.3788021,72337.0727344,,,,,
2012-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.985,-6.66575757576,2.49157142857,5.8779070122,-2.31913627373,1.09128569826,0.976062494614,0.981641350208,1.00544484552,0.981826203346,2549.51328289,4845.40307051,13785.7553782,19535.2941186,-44.918,17.7917636364,4.06156052632,6.74489659944,-5.78470451242,5.46076984364,1.01033794821,1.01190740461,1.02029539357,1.0036008686,17426.8433398,19230.8070654,38485.2938094,72327.3850905,,,,,
2012-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.579,-8.71987878788,-0.699124060151,5.69424976548,-2.07290533433,1.06599501613,0.980889989827,0.980267183666,1.00367076339,0.982504911447,2850.59418421,4433.30807692,13628.553568,18009.853204,30.3388,9.33308484848,3.8059056391,7.3874413227,-5.67258263449,5.18486267002,1.02311653298,1.0255294507,1.03480019028,1.01806996125,23076.741104,22898.7264174,40452.4394886,72576.5700468,,,,,
2012-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.147,-9.04993939394,-1.66238345865,5.58519770169,-1.99089543776,1.05678135392,0.998572271472,0.996120325028,1.01991317513,0.999435204464,2349.39957894,4168.98814744,13617.4780127,17312.1975463,55.9172,7.4320969697,3.88361804511,7.55262680582,-5.61355409634,5.09338853211,1.02115979505,1.02474518256,1.03428787805,1.01773507238,26249.4761082,25377.9013087,42260.613123,72809.2907717,,,,,
2012-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.607,-8.72896969697,-2.52571804511,5.45665982645,-1.90756212641,1.04715175321,1.00147479366,0.997883501174,1.02167059402,1.00202782156,2180.97431579,3959.55148077,13617.083968,17013.1717051,62.3842,6.72635757576,4.13776315789,7.68659015009,-5.54409895101,5.00177087768,1.01453662946,1.01884445579,1.02904570782,1.01269802265,25998.7166366,26036.1533231,43404.6842587,72922.732087,,,,,
2012-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.233,-7.67678787879,-3.26419736842,5.31140830206,-1.8227531206,1.03713661392,1.00568266059,1.00109814368,1.02491934471,1.0061363735,2055.51747368,3738.74711378,13610.5032591,16745.7766225,52.1162,7.38844242424,4.51084736842,7.78575028143,-5.46525829231,4.90998177077,1.01003100018,1.01510109334,1.02590424635,1.00976308557,23527.9159379,26045.0431856,44372.5318567,72903.7659019,,,,,
2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.223,-6.12996969697,-3.87759774436,5.15235576923,-1.73684903891,1.02671866623,1.0022185729,0.996574803114,1.02005171422,1.00239180877,1895.08775658,3510.60384455,13400.801568,16471.956726,27.4426,8.95288484848,4.91238796992,7.8512179409,-5.3781426805,4.81792619481,1.00220686935,1.00784645039,1.01899903181,1.00320175515,19618.1613777,25237.2626728,45076.5350177,72795.8552321,,,,,
2012-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.248,0.148606060606,-4.92369360902,4.60257704034,-1.4718614847,0.993378340432,1.01133976196,1.00330904207,1.02580501186,1.01109492158,1604.45247368,3054.5499343,12540.5816946,15959.6664339,-19.113,14.9335090909,6.2615981203,7.91297152908,-5.06638911744,4.54058068281,1.01581081366,1.02228304819,1.03476846996,1.01998067498,15773.2626674,23207.3774192,48378.8057878,72880.6756209,,,,,
2012-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.17,2.78239393939,-4.93838533835,4.41024472326,-1.38009448254,0.981635832485,1.0168629705,1.0087987652,1.03098962942,1.01744103563,1851.38575658,2972.32958974,12167.8962089,15793.9110172,-7.3326,17.2361939394,6.97124699248,7.93207786116,-4.94326459505,4.44884426024,1.01599918061,1.02276530169,1.03556029666,1.02138586135,17594.5666724,24519.3709064,50378.1820389,73191.7636072,,,,,
